time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-06T01:22:51.557Z,-22.1472,-68.5731,116.56,4.4,mb,,53,0.88,0.85,us,us7000e0ia,2021-05-06T21:58:17.040Z,"49 km NE of Calama, Chile",earthquake,4.2,7.2,0.149,13,reviewed,us,us
2021-05-07T02:16:54.183Z,-2.87,129.7462,10,4.4,mb,,123,2.5,1.14,us,us7000e0vy,2021-05-07T02:54:12.040Z,"105 km ENE of Amahai, Indonesia",earthquake,9,1.9,0.178,9,reviewed,us,us
2021-05-07T03:08:07.642Z,37.6476,19.7678,10,4.4,mb,,130,1.78,0.93,us,us7000e0w6,2021-05-07T03:35:18.040Z,"85 km SW of Lixoúri, Greece",earthquake,2.6,2,0.267,5,reviewed,us,us
2021-05-07T10:29:39.724Z,-12.031,166.7089,160.06,4.4,mb,,107,3.429,0.64,us,us7000e0zg,2021-05-07T13:13:50.040Z,"175 km SE of Lata, Solomon Islands",earthquake,10.5,7.6,0.075,53,reviewed,us,us
2021-05-07T19:48:44.931Z,35.285,46.4527,10,4.4,mb,,58,0.622,0.9,us,us7000e15j,2021-05-08T11:52:41.949Z,"28 km NNE of Pāveh, Iran",earthquake,4.8,1.9,0.06,87,reviewed,us,us
2021-05-08T02:31:24.849Z,11.9811,-59.8701,10,4.4,mb,,134,1.194,1.29,us,us7000e18i,2021-05-08T02:57:31.040Z,"125 km SSW of Oistins, Barbados",earthquake,5.6,1.9,0.121,20,reviewed,us,us
2021-05-08T07:47:03.783Z,-6.6996,129.939,125.68,4.4,mb,,100,1.855,0.78,us,us7000e1a4,2021-05-08T08:07:15.040Z,Banda Sea,earthquake,10,8.4,0.12,20,reviewed,us,us
2021-05-08T08:13:52.766Z,38.192,-117.8644,5.2,4.4,ml,26,39.68,0.031,0.1236,nn,nn00806762,2021-05-09T08:16:06.258Z,"30 km SE of Mina, Nevada",earthquake,,0.9,0.22,9,reviewed,nn,nn
2021-05-08T11:29:31.300Z,-4.2266,102.4183,80.77,4.4,mb,,193,0.552,0.55,us,us7000e1be,2021-05-08T11:54:57.040Z,"50 km SSE of Bengkulu, Indonesia",earthquake,7.5,6.5,0.13,18,reviewed,us,us
2021-05-08T16:57:28.569Z,36.6501,141.7849,6.02,4.4,mb,,125,2.879,0.74,us,us7000e1dk,2021-05-08T21:28:24.040Z,"91 km ESE of Iwaki, Japan",earthquake,6.7,4.8,0.08,48,reviewed,us,us
2021-05-09T01:53:36.422Z,37.235,71.6743,115.73,4.4,mb,,76,0.883,1.28,us,us7000e1gh,2021-05-09T02:31:04.040Z,"30 km SSE of Khorugh, Tajikistan",earthquake,7.8,8.5,0.267,7,reviewed,us,us
2021-05-09T03:19:29.349Z,-3.8475,131.2344,10,4.4,mb,,107,1.369,0.91,us,us7000e1hc,2021-05-09T03:45:11.040Z,"259 km NW of Tual, Indonesia",earthquake,6.4,1.9,0.239,5,reviewed,us,us
