time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-12T06:20:22.175Z,31.73239965,-104.5931127,5.643115234,3.1,ml,34,83,0.070115396,0.3,tx,tx2021hdaj,2021-04-12T15:39:54.213Z,western Texas,earthquake,2.901841367,1.501828388,0.2,19,reviewed,tx,tx
2021-04-15T22:25:49.667Z,31.1552793,-103.0473729,4.023510742,3.1,ml,33,49,0.047137142,0.3,tx,tx2021hjss,2021-05-07T01:59:50.868Z,"9 km S of Coyanosa, Texas",earthquake,0.970655038,0.711887573,0.1,18,reviewed,tx,tx
2021-04-17T20:59:23.431Z,31.66273084,-104.2973713,7.288427734,3.1,ml,27,58,0.111612161,0.3,tx,tx2021hngw,2021-05-01T02:20:16.040Z,"57 km S of Whites City, New Mexico",earthquake,1.021210668,1.581210779,0.1,13,reviewed,tx,tx
2021-04-18T00:33:36.828Z,31.64889419,-104.3058728,6.671435547,3.1,ml,31,59,0.12547555,0.3,tx,tx2021hnny,2021-05-04T22:43:36.040Z,"58 km S of Whites City, New Mexico",earthquake,1.587018345,2.249719136,0.1,15,reviewed,tx,tx
2021-04-18T20:54:48.061Z,32.86468506,-101.0045494,3.399210612,3.1,ml,32,37,0.078571025,0.2,tx,tx2021hpcf,2021-04-19T20:47:07.916Z,"18 km NNW of Snyder, Texas",earthquake,0.978979352,1.439736302,0.1,13,reviewed,tx,tx
2021-04-26T04:05:56.810Z,38.7536667,-122.7,0.33,3.1,ml,86,42,0.007573,0.1,nc,nc73554700,2021-05-03T01:49:54.040Z,"2km SSW of Anderson Springs, CA",earthquake,0.1,0.2,0.204,58,reviewed,nc,nc
2021-04-27T13:21:18.938Z,31.68614939,-104.1691503,7.674047852,3.1,ml,29,49,0.126843302,0.2,tx,tx2021ieyu,2021-04-27T14:45:52.646Z,"54 km W of Mentone, Texas",earthquake,0.852019294,1.249960344,0.1,13,reviewed,tx,tx
2021-05-06T18:20:33.736Z,39.7458,-98.0121,5,3.1,mb_lg,,121,1.263,0.55,us,us7000e0s5,2021-05-07T06:08:37.056Z,"4 km SSW of Formoso, Kansas",earthquake,2.1,1.2,0.047,121,reviewed,us,us
2021-05-07T04:37:37.341Z,39.4729,-120.3198,10.76,3.1,ml,,49,0.121,0.29,us,us7000e0wz,2021-05-07T20:44:35.351Z,"13 km SSE of Sierraville, California",earthquake,1.1,7.1,0.066,30,reviewed,us,us
2021-05-07T06:30:18.621Z,38.7173,-97.0321,3,3.1,mb_lg,,90,0.505,0.31,us,us7000e0xj,2021-05-07T23:27:52.967Z,Kansas,earthquake,3.3,5.9,0.04,163,reviewed,us,us
